iter	Passed	Remaining
0	189	18757
1	270	13259
2	345	11172
3	501	12030
4	589	11191
5	670	10509
6	756	10045
7	839	9648
8	914	9246
9	993	8939
10	1071	8672
11	1151	8443
12	1224	8193
13	1297	7969
14	1374	7789
15	1454	7635
16	1531	7478
17	1604	7311
18	1677	7152
19	1757	7030
20	1837	6911
21	1909	6768
22	1982	6637
23	2055	6507
24	2130	6392
25	2205	6277
26	2283	6173
27	2362	6074
28	2446	5988
29	2525	5893
30	2601	5791
31	2674	5682
32	2747	5577
33	2825	5485
34	2896	5379
35	2968	5277
36	3040	5177
37	3128	5104
38	3214	5027
39	3302	4953
40	3387	4874
41	3470	4792
42	3558	4716
43	3666	4665
44	3809	4655
45	3961	4650
46	4097	4620
47	4211	4562
48	4362	4540
49	4482	4482
50	4587	4407
51	4695	4334
52	4817	4272
53	4918	4189
54	5032	4117
55	5130	4031
56	5224	3941
57	5302	3839
58	5386	3743
59	5468	3645
60	5545	3545
61	5640	3456
62	5726	3363
63	5829	3278
64	5916	3185
65	6005	3093
66	6088	2998
67	6178	2907
68	6263	2813
69	6348	2720
70	6437	2629
71	6519	2535
72	6612	2445
73	6700	2354
74	6791	2263
75	6877	2171
76	6979	2084
77	7055	1990
78	7129	1895
79	7212	1803
80	7279	1707
81	7356	1614
82	7435	1522
83	7523	1433
84	7623	1345
85	7702	1253
86	7776	1162
87	7845	1069
88	7916	978
89	8045	893
90	8181	809
91	8267	718
92	8331	627
93	8393	535
94	8477	446
95	8546	356
96	8619	266
97	8689	177
98	8753	88
99	8820	0
